start_x,start_y,solution_x,solution_y,iterations,converged
-1.0,-1.0,-1.8162640690930374,0.8373678000139697,7,True
0.5,0.5,-1.8162640698689667,0.8373678003692572,9,True
1.0,1.0,-1.8162640688252372,0.8373677998912874,8,True
2.0,2.0,-1.8162640688341276,0.8373677998953689,8,True
