n,time_gauss,error_gauss,time_lu,error_lu,time_chol,error_chol
100,0.013145208358764648,8.357090527286134e-14,0.013819456100463867,6.984198423138852e-14,0.007479190826416016,2.4107838495364614e-14
200,0.06133770942687988,8.527951939255404e-14,0.05648493766784668,1.082582052809406e-13,0.028802156448364258,1.4703052251695812e-13
300,0.13308072090148926,4.055396669779543e-13,0.1190187931060791,1.1378112346564569e-13,0.0697031021118164,9.789319024996381e-14
500,0.426891565322876,3.4562501122426557e-13,0.420363187789917,1.7151405750513989e-13,0.19089150428771973,2.671587700091339e-13
