factor,iters_jacobi,iters_gs,cond
1.1,15,9,1.6637325552538011
1.5,13,8,1.5240361561939666
2.0,12,8,1.5198639887462106
5.0,8,7,1.6350842351705428
10.0,7,6,1.3740511636096369
