n,condition,error_gauss,error_lu,error_chol
5,476607.2502419338,3.493542727308215e-13,1.056626870223704e-11,3.4564117613407913e-06
7,475367356.8815896,9.750558120308995e-09,1.6179736622525745e-08,0.33130863580167774
9,493153322841.38226,3.1373773617620694e-06,5.701365560031626e-06,2.1938496753348082
12,1.642582584316724e+16,0.24279706008137739,0.48241916011920344,
